Date,Clutch,Larva,Observer,Final speed (cm/s),Time(min),Time(sec),Notes,Photo,Preserved,,,
15-May-19,1,1,ES/CK,2,2,5,,1,1,,,
15-May-19,1,2,ES/CK,2,2,0,Pinned to mesh,1,1,,,
15-May-19,1,3,ES/CK,2,3,44,,1,1,,,
15-May-19,1,4,ES/CK,4,5,6,,1,1,,,
15-May-19,1,5,ES/CK,4,5,16,,1,1,,,
15-May-19,1,6,ES/CK,2,2,33,,1,1,,,
15-May-19,1,7,ES/CK,4,4,10,,1,1,,,
15-May-19,1,8,ES/CK,2,2,20,,1,1,,,
15-May-19,1,9,ES/CK,6,7,48,,1,1,,,
15-May-19,1,10,CK,6,6,50,,1,1,,,
15-May-19,1,11,ES,4,4,5,,1,1,,,
15-May-19,1,12,ES,2,3,46,,1,1,,,
15-May-19,1,13,CK,6,7,26,,1,1,,,
15-May-19,1,14,ES,6,7,16,,1,1,,,
15-May-19,1,15,CK,8,8,44,,1,1,,,
15-May-19,1,16,ES,6,7,7,,1,1,,,
15-May-19,1,17,CK,8,8,45,,1,1,,,
15-May-19,1,18,ES,6,6,19,,1,1,,,
15-May-19,1,19,CK,6,6,39,,1,1,,,
15-May-19,1,20,ES,6,6,59,,1,1,,,
15-May-19,1,21,CK,4,4,22,,1,1,,,
15-May-19,1,22,ES,2,3,16,,1,1,,,
15-May-19,1,23,CK,2,3,5,,1,1,,,
15-May-19,1,24,CK,4,4,35,,1,1,,,
15-May-19,1,25,CK,6,6,10,,1,1,,,
15-May-19,1,26,CK,4,4,10,,1,1,,,
15-May-19,1,27,CK,6,7,43,,1,1,,,
15-May-19,1,28,CK,4,5,15,,1,1,,,
15-May-19,1,29,CK,2,2,50,,1,1,,,
15-May-19,1,30,CK,2,3,21,,1,1,,,
16-May-19,2,1,CK,2,2,47,,1,1,,,
16-May-19,2,2,ES,6,7,17,,1,1,,,
16-May-19,2,3,CK,2,3,38,,1,1,,,
16-May-19,2,4,CK,2,2,46,,1,1,,,
16-May-19,2,5,ES,4,4,25,,1,1,,,
16-May-19,2,6,CK,4,4,15,,1,1,,,
16-May-19,2,7,ES,4,4,5,,1,1,,,
16-May-19,2,8,CK,6,6,10,,1,1,,,
16-May-19,2,9,ES,4,5,30,,1,1,,,
16-May-19,2,10,CK,4,4,28,,1,1,,,
16-May-19,2,11,ES,6,7,3,,1,1,,,
16-May-19,2,12,ES,4,5,28,,1,1,,,
16-May-19,2,13,ES,8,8,0,,1,1,,,
16-May-19,2,14,CK,4,4,20,,1,1,,,
16-May-19,2,15,ES,4,4,31,,1,1,,,
16-May-19,2,16,CK,4,4,44,,1,1,,,
16-May-19,2,17,ES,2,3,29,,1,1,,,
16-May-19,2,18,CK,4,4,22,,1,1,,,
16-May-19,2,19,CK,4,4,17,,1,1,,,
16-May-19,2,20,ES,6,6,55,,1,1,,,
16-May-19,2,21,CK,4,4,17,,1,1,,,
16-May-19,2,22,ES,2,3,30,,1,1,,,
16-May-19,2,23,CK,4,5,23,,1,1,,,
16-May-19,2,24,ES,6,6,15,,1,1,,,
16-May-19,2,25,CK,2,2,46,,1,1,,,
16-May-19,2,26,CK,2,2,27,,1,1,,,
16-May-19,2,27,ES,8,9,18,,1,1,,,
16-May-19,2,28,CK,4,5,28,,1,1,,,
16-May-19,2,29,CK,6,6,47,,1,1,,,
16-May-19,2,30,ES,6,7,11,,1,1,,,
17-May-19,3,1,CK,6,6,38,,1,1,,,
17-May-19,3,2,ES,6,7,46,,1,1,,,
17-May-19,3,3,CK,4,5,1,,1,1,,,
17-May-19,3,4,CK,2,2,15,,1,1,,,
17-May-19,3,5,ES,8,8,5,,1,1,,,
17-May-19,3,6,CK,6,7,41,,1,1,,,
17-May-19,3,7,ES,4,4,2,,1,1,,,
17-May-19,3,8,CK,6,6,41,,1,1,,,
17-May-19,3,9,ES,6,7,11,,1,1,,,
17-May-19,3,10,CK,6,7,19,,1,1,,,
17-May-19,3,11,ES,4,5,31,,1,1,,,
17-May-19,3,12,CK,2,3,11,,1,1,,,
17-May-19,3,13,CK,2,2,7,,1,1,,,
17-May-19,3,14,CK/ES,4,4,44,,1,1,,,
17-May-19,3,15,ES,6,7,0,,1,1,,,
17-May-19,3,16,CK,2,2,37,,1,1,,,
