Clutch #,R1 ID#,R2 ID#,Parental tank,Year clutch,PostSwitch,Date laid (Day 0),Clutch photo date,Hatch tank,Date moved,Date hatched,# larvae swum,# larvae photo'd,# larvae preserved,# mistrials,Age at hatch,Notes
1,9,2,A3:5,5,1,6-May-19,,3,14-May-19,14-May-19,30,30,0,5,8,no food to larvae; <1/2 hatch
11,9,2,A3:5,7,1,31-May-19,,1,9-Jun-19,9-Jun-19,30,30,30,4,9,
36,61,2,A1:2,,1,29-Jul-19,6-Aug,L5,6-Aug-19,6-Aug-19,15,15,15,1,8,
43,61,2,A1:2,,1,12-Aug-19,20-Aug,L6,20-Aug-19,20-Aug-19,15,14,14,3,8,
51,61,2,A1:2,,1,2-Oct-19,10-Oct,L6,10-Oct-19,10-Oct-19,13,13,13,1,8,
46,10,38,B3:4,,1,8-Sep-19,15-Sep-19,L5,15-Sep-19,15-Sep-19,30,30,30,6,7,
12,114,38,B2:3,,0,3-Jun-19,,2,10-Jun-19,10-Jun-19,30,30,30,1,7,
30,57,62,B3:2,,0,9-Jul-19,17-Jul,2,17-Jul-19,17-Jul-19,30,29,29,5,8,
29,31,79,C1:1,,0,9-Jul-19,16-Jul,2,16-Jul-19,16-Jul-19,30,30,30,6,7,
17,17,80,C1:2,,0,12-Jun-19,20-Jun-19,3,20-Jun-19,20-Jun-19,30,30,30,3,8,
21,269,94,D1:2,,0,22-Jun-19,30-Jun,3,30-Jun-19,30-Jun-19,30,30,30,9,8,
47,54,95,D2:4,,1,9-Sep-19,16-Sep-19,L2,16-Sep-19,16-Sep-19,15,15,15,0,7,
58,54,95,D2:4,,1,12-Nov-19,,L3,20-Nov-19,20-Nov-19,15,15,15,1,8,
3,78,95,D3:5,4,1,8-May-19,,2,15-May-19,16-May-19,30,30,0,4,8,no food to larvae
14,78,95,D3:5,5,1,4-Jun-19,12-Jun-19,1,12-Jun-19,12-Jun-19,30,30,28,3,8,
60,30,96,A2:4,,1,28-Nov-19,6-Dec,L2,6-Dec-19,6-Dec-19,30,30,30,3,8,
26,66,96,A1:3,,0,6-Jul-19,14-Jul,3,14-Jul-19,14-Jul-19,11,11,11,0,8,need more larvae from this clutch
39,66,96,A1:3,,0,7-Aug-19,15-Aug,L3,15-Aug-19,15-Aug-19,15,15,15,1,8,
41,9,97,A2:4,,0,9-Aug-19,17-Aug,L3,17-Aug-19,17-Aug-19,30,30,30,4,8,
2,61,97,A1:2,5,1,8-May-19,,4,15-May-19,15-May-19,30,30,0,1,7,no food to larvae
65,70,97,A3:5,,1,10-Jan-20,20-Jan,L0,20-Jan-20,20-Jan-20,20,20,20,0,10,
48,9,98,A1:3,,1,16-Sep-19,24-Sep,L5,24-Sep-19,25-Sep-19,15,15,15,0,9,in hatch tank 2 days
20,70,98,A3:1,,0,20-Jun-19,27-Jun,3,27-Jun-19,27-Jun-19,30,30,30,5,7,
6,32,101,D1:3,,0,20-May-19,,1,28-May-19,28-May-19,16,16,16,0,8,cold (70F) and very green in tank in AM; ran out of time to test all 30 larvae; <1/2 hatch
27,47,102,A3:3,,0,6-Jul-19,14-Jul,4,14-Jul-19,14-Jul-19,13,12,13,0,8,
35,13,103,B3:3,,1,24-Jul-19,NA,L5,1-Aug-19,1-Aug-19,15,15,15,1,8,
40,13,103,B3:3,,1,6-Aug-19,15-Aug,L4,15-Aug-19,15-Aug-19,15,15,15,3,9,
13,22,103,B3:1,5,1,3-Jun-19,,1,11-Jun-19,11-Jun-19,30,30,30,2,8,
56,5,108,A3:4,,1,3-Nov-19,10-Nov,L6,10-Nov-19,10-Nov-19,30,30,30,2,7,
31,6,108,A2:1,,0,18-Jul-19,25-Jul,2,25-Jul-19,25-Jul-19,30,30,30,6,7,
25,18,111,B1:1,,0,5-Jul-19,12-Jul,2,12-Jul-19,12-Jul-19,20,20,20,0,7,
62,59,111,B2:5,,1,3-Dec-19,10-Dec,L5,10-Dec-19,10-Dec-19,30,30,30,6,7,
54,18,115,B2:3,,1,24-Oct-19,31-Oct,L6,31-Oct-19,31-Oct-19,15,15,15,1,7,
61,18,115,B2:3,,1,1-Dec-19,8-Dec,L6,8-Dec-19,8-Dec-19,15,15,15,0,7,
18,59,115,B3:4,,0,17-Jun-19,25-Jun-19,4,25-Jun-19,25-Jun-19,30,29,29,1,8,#29 MIA
63,29,116,C1:2,,1,4-Dec-19,12-Dec,L6,12-Dec-19,12-Dec-19,22,22,22,1,8,
23,74,116,C1:3,,0,25-Jun-19,2-Jul,3,2-Jul-19,2-Jul-19,30,30,30,1,7,Partial hatch
33,36,118,C2:1,,1,21-Jul-19,29-Jul,L3,29-Jul-19,29-Jul-19,30,30,30,1,8,
42,29,122,C3:2,,1,9-Aug-19,18-Aug,L4,18-Aug-19,18-Aug-19,30,30,30,2,9,
4,36,122,C3:3,5,1,11-May-19,,4,19-May-19,19-May-19,30,30,0,14,8,no food to larvae; lots of disoriented larvae; air was on very high overnight; <1/2 hatch
49,74,122,C2:4,,1,24-Sep-19,2-Oct,L6,2-Oct-19,2-Oct-19,7,4,7,1,8,
10,55,129,D2:4,,1,28-May-19,,1,6-Jun-19,6-Jun-19,15,15,15,2,9,second half of hatch
44,55,129,D2:5,,1,2-Sep-19,10-Sep-19,L3,10-Sep-19,10-Sep-19,15,15,15,0,8,
32,5,137,A1:5,,0,20-Jul-19,28-Jul,L4,28-Jul-19,28-Jul-19,30,30,30,3,8,
59,6,137,A1:4,,1,27-Nov-19,5-Dec,L4,5-Dec-19,5-Dec-19,29,27,29,3,8,late -- finished @4:30pm; only 29 fish alive to run
45,78,132,D3:5,,1,6-Sep-19,13-Sep-19,L5,13-Sep-19,13-Sep-19,18,18,18,5,7,
9,26,142,D3:1,,0,28-May-19,,2,6-Jun-19,6-Jun-19,20,20,20,1,9,second half of hatch
69,55,142,D3:2,,1,20-Jan-20,29-Jan,L6,29-Jan-20,29-Jan-20,19,19,19,0,9,
16,125,144,C1:4,,0,10-Jun-19,,3,18-Jun-19,18-Jun-19,30,30,30,2,8,
68,78,152,D2:5,,1,17-Jan-20,26-Jan,L5,26-Jan-20,26-Jan-20,30,30,30,3,9,
28,130,152,D3:2,,0,7-Jul-19,15-Jul,3,15-Jul-19,15-Jul-19,30,30,30,0,8,eggs came off air in the middle of night; many didn't hatch
15,10,156,B2:5,,0,8-Jun-19,,2,16-Jun-19,16-Jun-19,30,30,30,1,8,fed in morning before trial 
57,114,156,B1:1,,1,10-Nov-19,17-Nov,L1,17-Nov-19,17-Nov-19,30,30,30,2,7,
64,17,162,C1:3,,1,30-Dec-19,8-Jan-20,L1,8-Jan-20,8-Jan-20,12,12,12,0,9,only 12 larvae hatched; in hatch tank 2 days
67,17,162,C1:3,,1,14-Jan-20,23-Jan,L2,23-Jan-20,23-Jan-20,11,11,11,0,9,
5,119,162,C2:4,,0,19-May-19,,1,27-May-19,27-May-19,30,30,30,0,8,
8,13,165,B3:3,3,1,26-May-19,,1,3-Jun-19,3-Jun-19,30,30,30,1,8,partial hatch
52,22,165,B2:2,,1,13-Oct-19,21-Oct,L2,21-Oct-19,21-Oct-19,20,11,20,2,8,
66,22,165,B2:2,,1,13-Jan-20,21-Jan,L1,21-Jan-20,21-Jan-20,11,11,11,0,8,
34,30,171,A3:5,,1,22-Jul-19,31-Jul,L2,31-Jul-19,31-Jul-19,17,17,17,2,9,
37,30,171,A3:5,,1,4-Aug-19,13-Aug,L3,13-Aug-19,13-Aug-19,20,20,20,0,9,
50,66,171,A3:1,,1,1-Oct-19,9-Oct,L6,9-Oct-19,9-Oct-19,15,15,15,2,8,
